Candidat_ID,Sexe,Age,Annees_Experience,Mention_Bac,Mention_Licence,Specialite_Licence,Diplome_Superieur,Langues_Parlees,Connaissance_Softwares,experience_management,Stage_Effectue,Recrute
29,H,37,6,Assez Bien,Très Bien,Droit,Bac,3,4,1,1,1
30,F,29,12,Bien,Très Bien,Droit,Doctorat,1,2,11,1,1
31,H,36,4,Passable,Bien,Sciences,Bac,1,1,1,1,1
32,F,31,4,Bien,Bien,Informatique,Bac,2,3,1,0,1
33,H,34,14,Très Bien,Très Bien,Droit,Licence,3,1,12,0,1
34,F,29,1,Très Bien,Très Bien,Gestion,Doctorat,1,3,0,0,1
35,H,24,1,Assez Bien,Très Bien,Sciences,Licence,4,4,0,0,0
36,H,40,10,Très Bien,Très Bien,Gestion,Licence,1,4,3,1,1
37,F,29,14,Assez Bien,Passable,Droit,Licence,4,1,1,0,1
38,F,37,2,Bien,Très Bien,Sciences,Licence,3,5,1,1,1
39,F,21,15,Très Bien,Passable,Droit,Master,2,3,3,0,1
40,H,29,15,Très Bien,Bien,Marketing,Doctorat,2,5,5,1,0
41,F,24,10,Passable,Très Bien,Gestion,Master,2,1,5,0,1
42,F,23,5,Bien,Assez Bien,Sciences,Licence,2,5,2,1,1
43,F,36,1,Passable,Très Bien,Gestion,Master,3,3,1,0,1
44,F,33,14,Passable,Très Bien,Sciences,Licence,4,4,2,1,0
45,H,21,0,Passable,Assez Bien,Marketing,Bac,3,3,0,0,0
46,F,25,1,Bien,Passable,Informatique,Licence,2,4,1,0,0
47,H,37,12,Assez Bien,Passable,Informatique,Master,1,2,10,0,0
48,F,25,4,Bien,Passable,Sciences,Doctorat,3,1,3,0,0
49,F,32,0,Passable,Bien,Droit,Master,4,4,0,1,0
50,F,29,8,Bien,Bien,Gestion,Bac,2,4,2,1,0
51,F,32,12,Passable,Très Bien,Gestion,Bac,4,1,11,1,1
52,F,36,14,Passable,Assez Bien,Droit,Bac,2,2,4,0,0
53,F,26,14,Passable,Très Bien,Gestion,Master,2,1,8,0,1
54,H,24,3,Passable,Passable,Droit,Licence,2,1,1,0,1
55,H,23,15,Très Bien,Très Bien,Marketing,Doctorat,2,3,8,0,0
56,H,23,2,Passable,Très Bien,Droit,Master,1,5,0,1,1
57,H,37,10,Assez Bien,Passable,Sciences,Doctorat,1,1,8,0,0
58,H,39,12,Très Bien,Assez Bien,Sciences,Master,1,4,10,1,1
59,H,34,15,Assez Bien,Passable,Sciences,Bac,3,1,7,1,1
60,H,34,4,Passable,Assez Bien,Informatique,Doctorat,1,1,3,0,0
61,F,35,1,Assez Bien,Très Bien,Marketing,Doctorat,2,3,0,0,0
62,H,23,13,Très Bien,Assez Bien,Informatique,Bac,4,4,3,0,1
63,H,32,5,Assez Bien,Très Bien,Gestion,Bac,4,3,0,1,0
64,H,30,4,Assez Bien,Passable,Droit,Master,4,1,2,1,0
65,H,32,1,Assez Bien,Très Bien,Gestion,Licence,3,1,1,1,1
66,H,39,10,Bien,Assez Bien,Gestion,Bac,1,5,9,1,1
67,H,33,12,Assez Bien,Bien,Marketing,Bac,3,5,3,0,0
68,H,28,8,Bien,Bien,Droit,Doctorat,1,5,8,0,1
69,F,31,10,Passable,Très Bien,Droit,Master,2,3,2,0,0
70,F,24,5,Assez Bien,Bien,Droit,Bac,1,3,0,0,1
71,H,31,13,Très Bien,Très Bien,Sciences,Bac,3,4,2,0,1
72,H,22,7,Assez Bien,Assez Bien,Informatique,Licence,3,2,5,1,1
73,F,24,7,Passable,Bien,Informatique,Licence,3,5,3,0,1
74,F,25,5,Passable,Bien,Informatique,Bac,2,4,0,0,0
75,F,22,6,Passable,Assez Bien,Droit,Bac,3,5,5,1,1
76,F,28,13,Passable,Assez Bien,Marketing,Bac,4,2,7,0,0
77,F,25,5,Très Bien,Assez Bien,Informatique,Doctorat,1,1,3,1,1
78,H,29,15,Bien,Bien,Marketing,Licence,2,1,3,1,1
79,F,38,12,Bien,Passable,Marketing,Doctorat,1,3,2,0,0
80,H,37,11,Très Bien,Passable,Droit,Licence,4,1,10,0,0
81,H,24,8,Bien,Très Bien,Gestion,Licence,2,1,1,1,1
82,H,37,0,Passable,Assez Bien,Informatique,Bac,1,3,0,0,0
83,F,22,10,Assez Bien,Bien,Marketing,Doctorat,2,3,7,0,0
84,H,23,2,Très Bien,Assez Bien,Marketing,Bac,1,3,1,1,1
85,F,36,12,Assez Bien,Bien,Droit,Doctorat,4,1,9,0,0
86,H,21,6,Très Bien,Bien,Sciences,Master,3,3,6,0,0
87,H,40,2,Bien,Assez Bien,Sciences,Licence,1,2,2,0,0
88,F,39,0,Passable,Bien,Informatique,Doctorat,4,4,0,0,1
89,H,32,15,Bien,Bien,Sciences,Master,1,1,15,1,0
90,H,38,6,Assez Bien,Assez Bien,Gestion,Licence,1,5,6,0,0
91,F,37,2,Passable,Très Bien,Informatique,Licence,1,1,2,0,1
92,H,31,10,Très Bien,Très Bien,Droit,Bac,2,4,10,1,0
93,H,36,11,Bien,Très Bien,Sciences,Doctorat,3,4,5,0,0
94,F,32,0,Passable,Passable,Informatique,Licence,1,1,0,1,0
95,H,36,9,Très Bien,Très Bien,Droit,Licence,2,2,5,0,1
96,F,32,2,Très Bien,Très Bien,Gestion,Master,1,1,1,0,0
97,H,29,2,Très Bien,Assez Bien,Marketing,Licence,3,1,0,0,0
98,F,23,8,Bien,Bien,Informatique,Licence,4,3,7,1,1
99,H,24,9,Très Bien,Très Bien,Marketing,Licence,3,5,1,1,0
100,H,40,11,Assez Bien,Assez Bien,Informatique,Master,1,1,7,1,0
101,F,34,3,Bien,Très Bien,Sciences,Master,1,5,1,0,0
102,F,36,6,Assez Bien,Assez Bien,Marketing,Licence,3,5,6,0,0
103,F,26,6,Bien,Bien,Sciences,Doctorat,1,5,3,0,0
104,H,31,10,Passable,Bien,Marketing,Licence,4,4,8,0,0
105,H,37,8,Passable,Passable,Marketing,Bac,4,5,7,1,1
106,F,30,3,Bien,Assez Bien,Informatique,Licence,1,4,0,1,0
107,H,30,15,Très Bien,Passable,Sciences,Licence,3,2,3,0,0
108,H,39,9,Passable,Bien,Sciences,Master,3,5,0,0,1
109,H,28,8,Très Bien,Très Bien,Informatique,Bac,4,1,8,0,1
110,F,26,11,Bien,Bien,Droit,Master,3,2,11,0,0
111,F,26,14,Bien,Assez Bien,Marketing,Master,3,3,9,1,0
112,H,25,7,Bien,Bien,Marketing,Doctorat,2,5,1,1,0
113,F,23,1,Bien,Passable,Sciences,Doctorat,3,5,1,0,1
114,F,26,4,Bien,Assez Bien,Gestion,Bac,1,4,2,1,0
115,F,38,1,Assez Bien,Très Bien,Informatique,Doctorat,2,2,1,1,0
116,H,38,13,Très Bien,Bien,Gestion,Licence,1,5,10,0,0
117,F,37,5,Assez Bien,Assez Bien,Droit,Licence,3,4,0,0,1
118,F,22,13,Très Bien,Assez Bien,Sciences,Licence,4,3,11,0,0
119,H,38,15,Très Bien,Bien,Informatique,Licence,2,2,13,0,0
120,F,39,11,Assez Bien,Très Bien,Informatique,Master,1,1,7,1,0
121,F,22,12,Assez Bien,Très Bien,Marketing,Doctorat,3,1,0,0,1
122,F,38,4,Très Bien,Bien,Informatique,Bac,3,3,3,0,0
123,F,37,3,Bien,Passable,Gestion,Doctorat,2,5,1,0,1
124,F,28,14,Passable,Passable,Sciences,Doctorat,3,4,14,1,0
125,H,29,15,Assez Bien,Passable,Droit,Doctorat,1,5,6,1,1
126,F,24,1,Assez Bien,Très Bien,Gestion,Licence,3,3,1,0,0
127,H,23,9,Très Bien,Très Bien,Droit,Licence,2,4,5,1,1
128,F,21,8,Très Bien,Passable,Sciences,Licence,2,4,0,0,1
129,F,36,14,Très Bien,Passable,Droit,Doctorat,3,3,14,1,1
130,F,22,7,Très Bien,Très Bien,Droit,Bac,1,1,4,1,0
131,F,32,2,Très Bien,Passable,Informatique,Licence,3,4,0,1,1
132,F,38,14,Bien,Très Bien,Informatique,Master,3,4,2,0,1
133,H,28,5,Bien,Passable,Informatique,Master,2,5,1,0,1
134,H,35,5,Assez Bien,Passable,Droit,Bac,1,4,3,1,1
135,F,39,0,Assez Bien,Très Bien,Marketing,Bac,4,4,0,1,1
136,H,20,11,Très Bien,Très Bien,Gestion,Master,4,2,7,1,1
137,H,40,15,Assez Bien,Bien,Sciences,Bac,3,2,11,0,1
138,F,28,9,Passable,Bien,Droit,Licence,1,4,0,1,0
139,F,31,1,Très Bien,Bien,Gestion,Master,1,2,1,0,0
140,F,24,14,Assez Bien,Passable,Marketing,Bac,1,4,6,0,1
141,F,20,7,Passable,Bien,Marketing,Bac,2,2,1,1,1
142,H,40,11,Assez Bien,Passable,Droit,Licence,4,5,2,0,0
143,H,39,5,Très Bien,Bien,Droit,Licence,2,4,4,1,1
144,H,21,5,Très Bien,Bien,Marketing,Master,4,3,0,0,1
145,H,36,7,Très Bien,Passable,Sciences,Doctorat,1,4,6,0,1
146,H,20,0,Très Bien,Passable,Gestion,Bac,1,3,0,0,0
147,H,22,5,Bien,Très Bien,Gestion,Master,4,4,5,0,1
148,H,21,11,Très Bien,Très Bien,Sciences,Bac,4,4,10,1,1
149,H,31,11,Assez Bien,Bien,Droit,Bac,2,3,10,0,0
150,F,23,4,Passable,Très Bien,Informatique,Bac,2,2,2,1,1
151,H,21,0,Assez Bien,Très Bien,Informatique,Master,3,2,0,0,0
152,F,22,4,Très Bien,Assez Bien,Informatique,Master,4,4,0,1,0
153,F,34,9,Passable,Très Bien,Informatique,Bac,1,4,1,1,0
154,F,33,9,Passable,Très Bien,Marketing,Licence,4,3,5,0,1
155,F,25,9,Assez Bien,Bien,Gestion,Licence,2,5,9,0,1
156,H,40,0,Très Bien,Assez Bien,Droit,Licence,3,5,0,1,0
157,H,27,0,Assez Bien,Passable,Gestion,Doctorat,4,4,0,1,1
158,H,20,13,Très Bien,Passable,Droit,Bac,1,5,7,1,0
159,H,37,12,Bien,Très Bien,Gestion,Bac,3,2,10,0,0
160,F,26,10,Passable,Très Bien,Gestion,Bac,1,5,1,1,1
161,F,20,7,Assez Bien,Passable,Sciences,Doctorat,4,4,6,0,0
162,H,26,12,Assez Bien,Assez Bien,Informatique,Doctorat,3,1,5,1,1
163,F,34,0,Bien,Assez Bien,Marketing,Licence,3,4,0,1,1
164,F,25,8,Passable,Bien,Sciences,Master,2,4,0,1,1
165,F,20,10,Assez Bien,Assez Bien,Gestion,Master,4,2,10,1,1
166,H,20,6,Bien,Passable,Marketing,Master,4,3,4,0,1
167,H,40,10,Très Bien,Très Bien,Marketing,Bac,2,5,4,0,0
168,F,29,3,Passable,Bien,Sciences,Doctorat,3,3,1,1,0
169,H,29,0,Assez Bien,Passable,Sciences,Master,4,4,0,0,0
170,H,35,0,Bien,Passable,Marketing,Master,1,3,0,1,1
171,F,30,0,Très Bien,Bien,Marketing,Bac,4,2,0,0,0
172,H,40,4,Passable,Bien,Droit,Master,4,3,0,1,1
173,H,22,10,Bien,Bien,Sciences,Doctorat,3,4,3,0,0
174,H,39,3,Bien,Passable,Informatique,Bac,4,1,1,1,0
175,F,26,5,Assez Bien,Bien,Informatique,Master,1,2,3,0,0
176,F,24,2,Passable,Assez Bien,Droit,Doctorat,2,1,1,1,1
177,F,21,9,Passable,Assez Bien,Informatique,Doctorat,4,1,1,1,0
178,H,25,7,Très Bien,Très Bien,Sciences,Doctorat,3,5,1,1,0
179,F,40,4,Bien,Assez Bien,Marketing,Licence,4,3,3,1,1
180,H,36,3,Assez Bien,Passable,Informatique,Licence,1,1,3,0,1
181,H,29,14,Bien,Assez Bien,Gestion,Licence,2,1,10,1,1
182,H,28,14,Bien,Bien,Droit,Licence,3,5,14,1,0
183,H,36,15,Bien,Bien,Sciences,Master,1,5,2,0,1
184,H,34,1,Assez Bien,Très Bien,Sciences,Doctorat,4,3,1,0,0
185,H,40,13,Bien,Passable,Droit,Doctorat,2,5,7,0,0
186,H,28,10,Assez Bien,Assez Bien,Marketing,Licence,1,3,0,0,1
187,H,22,4,Assez Bien,Passable,Sciences,Bac,3,1,2,1,1
188,F,34,12,Très Bien,Passable,Droit,Master,2,3,12,1,1
189,F,20,7,Assez Bien,Assez Bien,Droit,Doctorat,1,4,0,0,0
190,H,32,4,Assez Bien,Assez Bien,Droit,Bac,1,1,2,1,0
191,F,33,15,Très Bien,Assez Bien,Sciences,Bac,3,4,12,0,0
192,F,25,15,Bien,Passable,Gestion,Master,2,1,15,1,0
193,F,35,12,Très Bien,Très Bien,Informatique,Master,4,1,12,1,0
194,H,27,7,Assez Bien,Très Bien,Gestion,Doctorat,2,3,3,0,1
195,F,26,11,Bien,Bien,Gestion,Licence,3,3,5,1,0
196,F,20,6,Passable,Assez Bien,Marketing,Licence,2,5,4,0,0
197,H,39,15,Bien,Passable,Gestion,Licence,4,2,12,0,0
198,H,39,1,Passable,Bien,Informatique,Licence,4,3,0,0,0
199,F,25,4,Passable,Bien,Marketing,Master,2,2,2,1,1
200,H,33,10,Bien,Très Bien,Informatique,Doctorat,1,1,2,1,1
201,H,23,13,Très Bien,Très Bien,Gestion,Doctorat,3,1,1,0,1
202,F,22,1,Passable,Assez Bien,Sciences,Doctorat,4,4,1,0,0
203,F,39,14,Très Bien,Bien,Gestion,Bac,1,3,8,0,0
204,H,38,15,Très Bien,Assez Bien,Droit,Bac,2,5,0,0,0
205,H,39,6,Bien,Très Bien,Marketing,Doctorat,2,3,1,0,0
206,H,35,8,Passable,Passable,Informatique,Doctorat,3,4,1,1,0
207,F,35,0,Bien,Assez Bien,Marketing,Licence,2,1,0,0,1
208,H,21,10,Passable,Très Bien,Gestion,Doctorat,2,2,5,1,1
209,F,34,15,Assez Bien,Passable,Informatique,Bac,2,3,14,1,0
210,H,32,11,Assez Bien,Très Bien,Droit,Licence,1,4,1,0,1
211,F,23,11,Passable,Passable,Sciences,Doctorat,2,3,6,0,1
212,F,29,4,Passable,Très Bien,Marketing,Bac,3,4,0,0,1
213,F,27,8,Très Bien,Bien,Informatique,Doctorat,3,2,5,0,0
214,H,37,0,Assez Bien,Assez Bien,Sciences,Doctorat,4,1,0,1,0
215,F,37,1,Passable,Passable,Droit,Bac,3,3,0,1,0
216,F,25,8,Très Bien,Assez Bien,Droit,Bac,4,5,5,0,0
217,F,31,7,Bien,Passable,Droit,Master,4,2,4,0,1
218,H,23,4,Assez Bien,Passable,Informatique,Doctorat,3,5,1,0,1
219,F,36,10,Très Bien,Passable,Marketing,Master,1,3,7,0,0
220,H,27,3,Très Bien,Très Bien,Marketing,Doctorat,4,5,1,0,1
221,H,32,3,Assez Bien,Assez Bien,Marketing,Master,4,3,2,0,0
222,F,35,9,Assez Bien,Bien,Sciences,Doctorat,2,1,4,1,1
223,F,29,5,Assez Bien,Passable,Gestion,Master,4,4,0,1,0
224,F,20,11,Assez Bien,Très Bien,Droit,Master,2,3,5,1,0
225,H,25,13,Passable,Très Bien,Gestion,Doctorat,3,5,0,0,0
226,H,23,12,Bien,Passable,Informatique,Doctorat,4,4,8,1,0
227,H,20,10,Passable,Bien,Gestion,Master,2,2,8,0,0
228,F,37,11,Bien,Très Bien,Sciences,Doctorat,3,4,10,1,1
229,H,32,15,Très Bien,Passable,Marketing,Bac,1,4,13,0,1
230,F,31,1,Très Bien,Passable,Sciences,Doctorat,1,4,0,1,0
231,F,29,10,Assez Bien,Très Bien,Gestion,Licence,4,3,5,0,1
232,F,28,4,Très Bien,Assez Bien,Gestion,Master,3,2,1,0,1
233,H,36,13,Bien,Assez Bien,Gestion,Master,4,4,1,1,1
234,F,25,14,Assez Bien,Bien,Gestion,Master,4,2,12,0,0
235,F,22,7,Assez Bien,Assez Bien,Informatique,Master,3,4,2,0,1
236,H,30,13,Bien,Très Bien,Informatique,Doctorat,4,2,8,1,1
237,F,35,1,Très Bien,Assez Bien,Gestion,Master,4,2,0,1,1
238,F,25,0,Passable,Passable,Gestion,Licence,4,4,0,0,0
239,F,35,10,Très Bien,Très Bien,Sciences,Licence,2,1,0,0,0
240,F,27,0,Très Bien,Passable,Sciences,Doctorat,4,2,0,0,1
241,H,36,1,Assez Bien,Bien,Sciences,Bac,3,1,0,1,0
242,H,20,5,Passable,Bien,Informatique,Master,4,3,3,1,1
243,H,32,10,Passable,Bien,Sciences,Master,4,2,5,0,1
244,H,25,5,Passable,Passable,Droit,Doctorat,1,1,1,1,1
245,H,36,6,Passable,Bien,Droit,Licence,2,5,5,1,0
246,F,27,9,Passable,Bien,Droit,Doctorat,2,1,9,0,1
247,F,20,7,Passable,Très Bien,Sciences,Doctorat,2,5,7,0,0
248,F,40,1,Assez Bien,Passable,Gestion,Bac,2,1,1,0,1
249,H,25,12,Assez Bien,Passable,Droit,Master,2,3,4,0,0
250,H,28,7,Assez Bien,Très Bien,Sciences,Bac,1,4,5,0,0
251,H,22,12,Passable,Passable,Marketing,Master,4,3,11,1,0
252,F,40,8,Assez Bien,Passable,Sciences,Master,1,3,6,1,0
253,H,31,2,Assez Bien,Très Bien,Sciences,Bac,3,5,2,0,1
254,H,34,3,Assez Bien,Passable,Marketing,Doctorat,2,3,3,1,1
255,F,30,14,Bien,Passable,Informatique,Doctorat,4,2,4,0,0
256,F,32,7,Assez Bien,Très Bien,Informatique,Bac,1,5,5,0,1
257,H,20,7,Très Bien,Passable,Marketing,Bac,3,2,4,1,0
258,F,33,15,Très Bien,Passable,Droit,Licence,1,5,0,1,0
259,F,39,4,Bien,Bien,Droit,Bac,3,4,0,0,0
260,F,21,2,Bien,Passable,Gestion,Doctorat,4,4,0,0,1
261,F,31,15,Bien,Bien,Informatique,Master,3,2,0,0,0
262,F,39,6,Très Bien,Passable,Sciences,Licence,3,4,0,1,0
263,H,37,14,Assez Bien,Passable,Droit,Master,1,4,8,0,0
264,H,28,11,Très Bien,Très Bien,Informatique,Master,2,4,9,0,0
265,F,31,10,Passable,Assez Bien,Marketing,Doctorat,3,1,6,0,0
266,H,27,0,Passable,Bien,Sciences,Master,3,2,0,0,1
267,F,26,3,Bien,Bien,Gestion,Master,2,3,1,1,1
268,H,20,2,Bien,Bien,Marketing,Licence,4,1,2,0,0
269,F,29,10,Assez Bien,Assez Bien,Sciences,Master,2,1,5,1,0
270,H,21,8,Passable,Passable,Marketing,Master,4,5,4,1,0
271,H,22,6,Passable,Bien,Sciences,Bac,3,5,6,0,0
272,H,20,7,Passable,Assez Bien,Droit,Bac,4,3,7,0,1
273,F,33,5,Passable,Bien,Gestion,Licence,2,4,5,1,1
274,F,20,2,Passable,Passable,Sciences,Bac,4,1,2,0,0
275,F,30,15,Bien,Bien,Droit,Licence,4,1,15,1,1
276,H,34,13,Passable,Très Bien,Marketing,Licence,2,3,2,0,0
277,F,40,6,Assez Bien,Assez Bien,Gestion,Master,1,1,5,0,1
278,F,33,3,Passable,Assez Bien,Gestion,Doctorat,3,1,0,0,1
279,F,36,3,Bien,Bien,Gestion,Licence,1,5,0,1,1
280,H,20,10,Passable,Bien,Marketing,Master,1,3,6,1,1
281,F,25,12,Bien,Assez Bien,Informatique,Licence,4,5,8,1,1
282,H,34,15,Passable,Très Bien,Sciences,Licence,3,5,8,0,0
283,H,31,2,Très Bien,Passable,Marketing,Master,2,4,2,0,0
284,F,27,6,Bien,Passable,Droit,Master,3,4,1,0,1
285,F,22,14,Passable,Assez Bien,Droit,Doctorat,3,4,0,0,0
286,H,30,8,Bien,Bien,Sciences,Bac,2,5,7,1,1
287,F,20,4,Assez Bien,Bien,Droit,Doctorat,3,5,0,1,0
288,F,28,13,Très Bien,Passable,Droit,Doctorat,4,1,2,1,1
289,F,39,9,Assez Bien,Assez Bien,Gestion,Master,3,1,6,1,0
290,H,27,8,Passable,Bien,Gestion,Doctorat,2,3,7,1,0
291,F,25,5,Bien,Assez Bien,Informatique,Doctorat,1,3,0,0,1
292,F,31,15,Passable,Passable,Marketing,Doctorat,3,3,4,1,0
293,H,31,6,Passable,Passable,Marketing,Licence,2,5,1,1,1
294,F,32,13,Très Bien,Très Bien,Informatique,Licence,1,2,3,1,1
295,H,32,15,Bien,Bien,Informatique,Doctorat,4,4,10,1,0
296,H,21,15,Bien,Passable,Marketing,Master,2,3,12,1,0
297,F,32,12,Très Bien,Passable,Droit,Master,2,1,4,1,1
298,F,34,11,Passable,Passable,Informatique,Doctorat,4,3,1,0,1
299,F,22,14,Très Bien,Bien,Gestion,Licence,3,3,7,1,0
300,F,37,4,Assez Bien,Bien,Informatique,Licence,4,2,1,1,1
301,H,31,14,Très Bien,Assez Bien,Droit,Bac,3,5,13,0,1
302,H,33,15,Assez Bien,Assez Bien,Gestion,Licence,4,2,1,0,1
303,F,23,0,Très Bien,Très Bien,Sciences,Licence,3,1,0,1,1
304,F,30,7,Très Bien,Très Bien,Marketing,Licence,1,5,4,1,1
305,F,21,13,Passable,Très Bien,Gestion,Bac,1,4,2,1,0
306,F,32,0,Assez Bien,Bien,Marketing,Bac,4,3,0,1,1
307,H,37,12,Très Bien,Assez Bien,Marketing,Master,4,2,12,1,0
308,F,31,2,Passable,Bien,Droit,Master,1,5,2,0,1
309,F,33,14,Passable,Assez Bien,Droit,Licence,3,5,12,1,0
310,F,30,7,Passable,Très Bien,Gestion,Master,4,4,0,1,1
311,F,23,2,Très Bien,Très Bien,Informatique,Bac,4,3,1,0,1
312,F,23,3,Passable,Passable,Gestion,Licence,3,4,2,0,1
313,F,37,2,Passable,Assez Bien,Marketing,Bac,3,3,0,0,0
314,H,23,14,Très Bien,Passable,Gestion,Bac,1,5,10,0,0
315,H,38,10,Bien,Bien,Droit,Master,1,5,9,0,0
316,F,37,6,Bien,Passable,Informatique,Master,3,5,5,0,1
317,H,36,3,Très Bien,Assez Bien,Gestion,Bac,4,4,1,1,0
318,F,22,12,Passable,Bien,Droit,Licence,1,4,10,0,0
319,H,28,14,Très Bien,Assez Bien,Sciences,Licence,1,5,7,0,0
320,H,26,4,Assez Bien,Très Bien,Informatique,Licence,4,1,1,1,1
321,F,35,2,Assez Bien,Passable,Informatique,Master,3,2,2,1,1
322,F,32,8,Assez Bien,Bien,Droit,Licence,1,3,7,1,0
323,F,36,3,Bien,Passable,Marketing,Doctorat,2,5,1,1,1
324,H,29,10,Bien,Très Bien,Marketing,Licence,3,2,7,0,1
325,F,22,4,Très Bien,Assez Bien,Marketing,Doctorat,4,1,4,1,0
326,F,26,10,Bien,Passable,Marketing,Doctorat,2,4,9,0,1
327,F,40,2,Assez Bien,Très Bien,Gestion,Bac,2,5,2,0,0
328,H,24,5,Bien,Bien,Informatique,Licence,3,2,1,1,0
329,F,38,13,Très Bien,Bien,Informatique,Licence,3,4,13,0,0
330,H,30,13,Assez Bien,Assez Bien,Sciences,Bac,4,2,11,1,0
331,H,36,0,Très Bien,Assez Bien,Marketing,Doctorat,2,5,0,0,1
332,F,28,6,Assez Bien,Très Bien,Sciences,Bac,1,5,5,0,1
333,F,37,7,Bien,Assez Bien,Droit,Bac,1,2,6,0,1
334,H,28,2,Bien,Assez Bien,Gestion,Master,2,4,2,1,0
335,F,32,3,Assez Bien,Très Bien,Droit,Master,2,5,0,0,1
336,H,40,0,Passable,Très Bien,Marketing,Master,4,2,0,0,1
337,F,24,7,Très Bien,Très Bien,Informatique,Master,1,3,0,0,1
338,H,29,10,Assez Bien,Très Bien,Informatique,Bac,4,1,4,0,0
339,F,36,5,Bien,Bien,Marketing,Master,2,3,0,1,1
340,H,40,13,Passable,Très Bien,Sciences,Master,1,5,7,1,1
341,F,36,1,Bien,Bien,Sciences,Master,1,1,0,1,1
342,H,26,13,Assez Bien,Passable,Informatique,Licence,4,2,7,0,1
343,H,31,10,Très Bien,Assez Bien,Gestion,Licence,2,5,0,0,0
344,F,37,9,Passable,Très Bien,Sciences,Master,3,5,8,1,0
345,F,32,6,Assez Bien,Bien,Informatique,Master,4,5,5,1,0
346,F,20,4,Assez Bien,Passable,Marketing,Master,4,4,1,1,0
347,F,20,0,Très Bien,Bien,Gestion,Licence,4,3,0,1,0
348,F,20,15,Très Bien,Bien,Gestion,Doctorat,1,4,12,1,0
349,H,30,0,Bien,Très Bien,Gestion,Doctorat,2,4,0,1,0
350,F,34,13,Passable,Assez Bien,Informatique,Master,4,1,6,0,0
351,H,33,1,Bien,Assez Bien,Sciences,Licence,2,4,1,0,1
352,F,29,14,Très Bien,Bien,Informatique,Doctorat,1,1,1,0,0
353,F,39,0,Très Bien,Bien,Informatique,Licence,3,5,0,1,1
354,H,39,4,Passable,Passable,Gestion,Bac,3,5,1,1,0
355,F,32,7,Bien,Bien,Marketing,Licence,1,1,0,0,1
356,F,32,1,Assez Bien,Très Bien,Sciences,Bac,1,1,1,1,1
357,H,30,13,Très Bien,Très Bien,Droit,Licence,2,1,6,0,1
358,F,24,7,Passable,Passable,Sciences,Doctorat,1,2,3,1,1
359,H,31,7,Assez Bien,Assez Bien,Droit,Bac,4,2,1,0,0
360,F,27,7,Très Bien,Assez Bien,Sciences,Bac,3,3,3,0,0
361,H,30,12,Assez Bien,Assez Bien,Gestion,Doctorat,4,5,7,1,1
362,H,38,0,Passable,Très Bien,Marketing,Doctorat,4,1,0,1,1
363,F,22,7,Passable,Très Bien,Gestion,Doctorat,4,4,3,1,0
364,F,28,6,Très Bien,Bien,Gestion,Bac,2,1,1,1,1
365,H,39,6,Passable,Très Bien,Droit,Licence,1,4,5,1,0
366,H,31,6,Passable,Assez Bien,Marketing,Bac,2,4,1,0,0
367,H,30,15,Passable,Passable,Droit,Bac,3,1,0,1,0
368,H,32,6,Assez Bien,Très Bien,Sciences,Doctorat,1,1,3,0,0
